[DEBUG] 2020-10-11 15:33:53.468 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-11 15:33:53.497 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-11 15:33:53.531 [http-nio-8080-exec-1] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-11 15:33:53.965 [http-nio-8080-exec-1] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-11 15:33:53.987 [http-nio-8080-exec-1] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-11 15:33:54.809 [http-nio-8080-exec-1] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-11 15:33:54.813 [http-nio-8080-exec-1] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-11 15:33:54.948 [http-nio-8080-exec-1] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-11 15:33:56.350 [http-nio-8080-exec-1] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-11 15:33:56.485 [http-nio-8080-exec-1] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-11 15:33:56.501 [http-nio-8080-exec-1] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-11 15:33:56.597 [http-nio-8080-exec-1] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-11 15:33:56.831 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@513b7120
[DEBUG] 2020-10-11 15:33:56.833 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@513b7120
[DEBUG] 2020-10-11 15:33:56.833 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@513b7120
[DEBUG] 2020-10-11 15:33:56.842 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@953d4c2
[DEBUG] 2020-10-11 15:33:56.847 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3061b9a
[DEBUG] 2020-10-11 15:33:56.851 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@14954a20
[DEBUG] 2020-10-11 15:33:56.852 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@636f24d3
[DEBUG] 2020-10-11 15:33:56.852 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@636f24d3
[DEBUG] 2020-10-11 15:33:56.852 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@636f24d3
[DEBUG] 2020-10-11 15:33:56.861 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@378c6b7f
[DEBUG] 2020-10-11 15:33:56.868 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@378c6b7f
[DEBUG] 2020-10-11 15:33:56.868 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@378c6b7f
[DEBUG] 2020-10-11 15:33:56.874 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b824e09
[DEBUG] 2020-10-11 15:33:56.876 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b824e09
[DEBUG] 2020-10-11 15:33:56.880 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5b824e09
[DEBUG] 2020-10-11 15:33:56.881 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3b8790e3
[DEBUG] 2020-10-11 15:33:56.881 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3b8790e3
[DEBUG] 2020-10-11 15:33:56.881 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3b8790e3
[DEBUG] 2020-10-11 15:33:56.884 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69ec34f1
[DEBUG] 2020-10-11 15:33:56.884 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69ec34f1
[DEBUG] 2020-10-11 15:33:56.884 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@69ec34f1
[DEBUG] 2020-10-11 15:33:56.895 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2c0efdb3
[DEBUG] 2020-10-11 15:33:56.898 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2c0efdb3
[DEBUG] 2020-10-11 15:33:56.899 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2c0efdb3
[DEBUG] 2020-10-11 15:33:56.904 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@42f99762
[DEBUG] 2020-10-11 15:33:56.905 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@42f99762
[DEBUG] 2020-10-11 15:33:56.906 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@42f99762
[DEBUG] 2020-10-11 15:33:56.907 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4d9a63a1
[DEBUG] 2020-10-11 15:33:56.907 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4d9a63a1
[DEBUG] 2020-10-11 15:33:56.910 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7994dc6f
[DEBUG] 2020-10-11 15:33:56.914 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7994dc6f
[DEBUG] 2020-10-11 15:33:56.926 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1059f12f
[DEBUG] 2020-10-11 15:33:56.927 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1059f12f
[DEBUG] 2020-10-11 15:33:56.928 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@17b3e8f2
[DEBUG] 2020-10-11 15:33:56.931 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4e7b062f
[DEBUG] 2020-10-11 15:33:56.940 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@529538a1
[DEBUG] 2020-10-11 15:33:56.940 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@529538a1
[DEBUG] 2020-10-11 15:33:56.941 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2f198f47
[DEBUG] 2020-10-11 15:33:56.941 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2f198f47
[DEBUG] 2020-10-11 15:33:56.975 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@65bdb094
[DEBUG] 2020-10-11 15:33:56.976 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@65bdb094
[DEBUG] 2020-10-11 15:33:56.977 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@17414f5b
[DEBUG] 2020-10-11 15:33:56.979 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@17414f5b
[DEBUG] 2020-10-11 15:33:56.987 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@539a5446
[DEBUG] 2020-10-11 15:33:56.987 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@539a5446
[DEBUG] 2020-10-11 15:33:57.003 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4c89fb9c
[DEBUG] 2020-10-11 15:33:57.003 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4c89fb9c
[DEBUG] 2020-10-11 15:33:57.007 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7cad6eb3
[DEBUG] 2020-10-11 15:33:57.007 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7cad6eb3
[DEBUG] 2020-10-11 15:33:57.017 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@7b24cf25
[DEBUG] 2020-10-11 15:33:57.017 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@7b24cf25
[DEBUG] 2020-10-11 15:33:57.033 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@75824c5d
[DEBUG] 2020-10-11 15:33:57.034 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@75824c5d
[DEBUG] 2020-10-11 15:33:57.039 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1704f66a
[DEBUG] 2020-10-11 15:33:57.039 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1704f66a
[DEBUG] 2020-10-11 15:33:57.044 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7a0ed2e8
[DEBUG] 2020-10-11 15:33:57.044 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7a0ed2e8
[DEBUG] 2020-10-11 15:33:57.048 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@2c7e7364
[DEBUG] 2020-10-11 15:33:57.049 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2c7e7364
[DEBUG] 2020-10-11 15:33:57.059 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2c7e7364
[DEBUG] 2020-10-11 15:33:57.070 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@20b36d48
[DEBUG] 2020-10-11 15:33:57.073 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@27480b10
[DEBUG] 2020-10-11 15:33:57.074 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@27480b10
[DEBUG] 2020-10-11 15:33:57.074 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@27480b10
[DEBUG] 2020-10-11 15:33:57.085 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5b98cc47
[DEBUG] 2020-10-11 15:33:57.103 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1590e514
[DEBUG] 2020-10-11 15:33:57.103 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1590e514
[DEBUG] 2020-10-11 15:33:57.109 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@295bbdfc
[DEBUG] 2020-10-11 15:33:57.109 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@295bbdfc
